FLOOD_HEIGHT,RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,ELEVATION,SLOPE
8,6,35,26.4,30.7,2,270,2.024,0.738
8,15,34.3,25.6,30,1,320,33.112,0.251
8,9.9,34.4,24.4,29.4,1,160,51.21,2.284
5,9.9,34.4,24.4,29.4,1,160,41.147,0.706
10,46.8,35,25.3,30.2,1,220,4.976,1.611
4,46.8,35,25.3,30.2,1,220,26.406,5.636
20,72.7,33.4,25.3,29.4,2,180,75.71,1.146
20,72.7,33.4,25.3,29.4,2,180,16.569,1.812
20,72.7,33.4,25.3,29.4,2,180,6.296,2.396
8,72.7,33.4,25.3,29.4,2,180,48.8,0.981
20,72.7,33.4,25.3,29.4,2,180,5.308,0.148
10,72.7,33.4,25.3,29.4,2,180,33.283,11.102
10,12.5,33.6,26,29.8,1,220,35.618,1.317
8,12.5,33.6,26,29.8,1,220,3.633,0.906
20,12.5,33.6,26,29.8,1,220,3.212,0.144
20,12.5,33.6,26,29.8,1,220,5.244,9.227
8,12.5,33.6,26,29.8,1,220,30.812,0.853
20,78.7,33.1,25,29.1,1,360,4.813,11.972
20,21.5,32.5,25.2,28.9,3,250,2.925,3.554
20,2.8,33.5,25.8,29.7,1,180,5.562,19.486
8,2.8,33.5,25.8,29.7,1,180,15.744,1.627
6,1.2,33,25.8,29.4,3,250,1.492,1.354
20,1.2,33,25.8,29.4,3,250,1.543,0.925
12,1.2,33,25.8,29.4,3,250,2.175,2.321
10,2.8,33.5,25.8,29.7,1,180,8.439,1.432
10,1.2,33,25.8,29.4,3,250,1.185,4.875
12,1.2,33,25.8,29.4,3,250,0.586,1.697
8,2,33.5,26,29.8,2,110,5.849,1.033
20,1.2,33,25.8,29.4,3,250,3.176,5.828
8,2.8,33.5,25.8,29.7,1,180,38.049,0.804
8,1.2,33,25.8,29.4,3,250,0.924,1.897
8,1.2,33,25.8,29.4,3,250,1.086,1.644
8,2.8,33.5,25.8,29.7,1,180,15.908,1.338
10,1.2,33,25.8,29.4,3,250,1.648,1.544
32,1.2,33,25.8,29.4,3,250,0.932,0.646
24,76.5,33,25.5,29.3,3,90,1.144,0.921
12,76.5,33,25.5,29.3,3,90,0.839,1.347
8,-1,33.3,25.5,29.4,2,90,3.147,0.718
12,34.8,32.7,24.3,28.5,2,140,6.668,1.397
8,34.8,32.7,24.3,28.5,2,140,40.505,1.388
10,34.8,32.7,24.3,28.5,2,140,6.386,0.845
8,34.8,32.7,24.3,28.5,2,140,5.008,0.921
8,34.8,32.7,24.3,28.5,2,140,37.248,0.428
8,34.8,32.7,24.3,28.5,2,140,33.126,0.913
8,34.8,32.7,24.3,28.5,2,140,37.613,1.742
8,34.8,32.7,24.3,28.5,2,140,33.246,1.077
13,34.8,32.7,24.3,28.5,2,140,6.343,1.657
10,-1,33.3,25.5,29.4,2,90,-1,-1
8,34.8,32.7,24.3,28.5,2,140,40.789,1.749
8,-1,33.3,25.5,29.4,2,90,2.183,0.727
8,34.8,32.7,24.3,28.5,2,140,58.315,2.384
19,7,33,26.1,29.5,2,250,0.927,2.27
19,7,33,26.1,29.5,2,250,3.115,1.635
8,25.1,32.8,25.5,29.1,1,320,18.179,3.569
9,22.9,32.4,24.3,28.4,1,220,4.404,2.634
11,22.9,32.4,24.3,28.4,1,220,50.951,1.259
7,22.9,32.4,24.3,28.4,1,220,52.403,0.301
6,22.9,32.4,24.3,28.4,1,220,16.723,0.469
8,22.9,32.4,24.3,28.4,1,220,32.313,0.728
8,22.9,32.4,24.3,28.4,1,220,33.305,1.617
45,22.9,32.4,24.3,28.4,1,220,6.733,5.38
22,22.9,32.4,24.3,28.4,1,220,37.303,0.801
18,22.9,32.4,24.3,28.4,1,220,6.328,2.587
11,50.5,31.5,25.3,28.4,3,260,2.021,2.745
11,50.5,31.5,25.3,28.4,3,260,2.209,3.595
6,22.9,32.4,24.3,28.4,1,220,57.338,0.954
11,22.9,32.4,24.3,28.4,1,220,12.283,2.413
8,27.7,32,25.8,28.9,3,250,0.746,1.325
8,27.7,32,25.8,28.9,3,250,3.158,2.724
17,27.7,32,25.8,28.9,3,250,2.499,0.789
8,22.9,32.4,24.3,28.4,1,220,2.129,2.284
4,13.8,32.3,24.9,28.6,1,140,1.826,1.303
4,13.8,32.3,24.9,28.6,1,140,3.661,5.094
15,13.8,32.3,24.9,28.6,1,140,32.823,1.407
10,13.8,32.3,24.9,28.6,1,140,32.519,0.457
8,13.8,32.3,24.9,28.6,1,140,35.8,1.509
15,23.2,31.5,26,28.8,3,140,2.598,0.937
4,23.2,31.5,26,28.8,3,140,1.53,0.6
8,23.2,31.5,26,28.8,3,140,-3.952,23.149
8,23.2,31.5,26,28.8,3,140,0.759,2.152
7,2.8,32.9,24.5,28.7,1,180,57.274,2.907
6,12.6,33.1,24.8,29,1,140,41.012,2.609
6,12.6,33.1,24.8,29,1,140,36.582,3.572
6,12.6,33.1,24.8,29,1,140,36.415,1.281
18,12.6,33.1,24.8,29,1,140,4.127,3.318
6,12.6,33.1,24.8,29,1,140,30.58,0.774
6,1.8,30,24.6,27.3,2,140,9.637,2.868
17,-999,31.6,25.7,28.7,2,130,2.958,1.174
18,1.8,30,24.6,27.3,2,140,4.081,1.509
6,1.8,30,24.6,27.3,2,140,3,1.358
6,3.4,31.3,25.5,28.4,4,140,2.302,1.218
6,3.4,31.3,25.5,28.4,4,140,2.881,0.547
6,3.4,31.3,25.5,28.4,4,140,2.891,0.676
18,1.8,30,24.6,27.3,2,140,3.792,1.478
6,1.8,30,24.6,27.3,2,140,6.212,2.185
6,3.4,31.3,25.5,28.4,4,140,2.413,0.765
18,3.4,31.3,25.5,28.4,4,140,2.832,3.332
6,3.4,31.3,25.5,28.4,4,140,2.598,1.509
8,2,33.3,25,29.1,1,140,6.831,0.589
20,2,33.3,25,29.1,1,140,6.294,1.6
36,9.2,33,24.7,28.9,1,270,73.358,5.907
13,9.2,33,24.7,28.9,1,270,4.925,5.637
10,16,31,23.7,27.4,3,250,4.67,5.166
37,87.9,31.5,24,27.8,3,250,4.389,1.878
6,47.1,32.8,24,28.4,1,270,20.113,0.94
6,47.1,32.8,24,28.4,1,270,13.289,0.618
6,47.1,32.8,24,28.4,1,270,17.379,0.509
8,4.2,30.5,25.8,28.2,2,180,0.827,0.084
10,4.2,30.5,25.8,28.2,2,180,0.703,0.373
10,4.2,30.5,25.8,28.2,2,180,0.685,1.027
10,4.2,30.5,25.8,28.2,2,180,0.797,0.855
8,4.2,30.5,25.8,28.2,2,180,1.46,2.546
8,4.2,30.5,25.8,28.2,2,180,0.952,4.319
17,0,33.4,24.7,29.1,1,160,2.883,7.543
18,21.6,31.7,24.1,27.9,1,140,37.089,2.47
17,21.6,31.7,24.1,27.9,1,140,59.866,0.693
17,21.6,31.7,24.1,27.9,1,140,67.881,0.869
37,21.6,31.7,24.1,27.9,1,140,49.607,6.405
48,21.6,31.7,24.1,27.9,1,140,72.541,1.317
37,21.6,31.7,24.1,27.9,1,140,57.313,0.979
21,21.6,31.7,24.1,27.9,1,140,56.827,3.1
18,21.6,31.7,24.1,27.9,1,140,67.79,4.567
6,21.6,31.7,24.1,27.9,1,140,75.694,0.22
6,5.8,33.5,24.3,28.9,1,140,18.209,1.491
19,5.8,33.5,24.3,28.9,1,140,32.294,0.571
16,5.8,33.5,24.3,28.9,1,140,7.791,2.275
8,30.6,34,24.8,29.4,3,160,3.157,0.57
8,30.6,34,24.8,29.4,3,160,1.912,1.535
18,5.8,33.5,24.3,28.9,1,140,8.372,2.705
6,30.6,34,24.8,29.4,3,160,2.341,0.524
6,13.5,34.1,24.4,29.3,2,120,7.796,1.055
6,13.5,34.1,24.4,29.3,2,120,2.408,0.626
18,30.6,34,24.8,29.4,3,160,8.372,1.727
18,30.6,34,24.8,29.4,3,160,9.427,1.132
18,30.6,34,24.8,29.4,3,160,3.463,4.039
8,30.6,34,24.8,29.4,3,160,2.89,0.651
21,5.8,33.5,24.3,28.9,1,140,7.898,1.387
7,5.8,33.5,24.3,28.9,1,140,6.858,1.382
12,57,31.1,23.4,27.3,2,70,1.196,1.44
19,57,31.1,23.4,27.3,2,70,0.917,1.62
19,57,31.1,23.4,27.3,2,70,0.889,1.466
27,57,31.1,23.4,27.3,2,70,3.184,1.158
4,57,31.1,23.4,27.3,2,70,0.823,0.931
19,57.4,31.5,23.5,27.5,1,270,18.041,7.543
19,57.4,31.5,23.5,27.5,1,270,3.155,1.069
7,57.4,31.5,23.5,27.5,1,270,16.751,7.389
19,57.4,31.5,23.5,27.5,1,270,7.831,1.748
19,57.4,31.5,23.5,27.5,1,270,4.479,6.391
7,57,31.1,23.4,27.3,2,70,1.476,1.838
6,57,31.1,23.4,27.3,2,70,0.792,9.19
10,57,31.1,23.4,27.3,2,70,1.585,0.308
12,57,31.1,23.4,27.3,2,70,0.833,1.322
11,57,31.1,23.4,27.3,2,70,1.492,1.742
7,30.6,30,24.8,27.4,2,110,1.843,1.557
8,30.6,30,24.8,27.4,2,110,2.851,5.625
7,30.6,30,24.8,27.4,2,110,0.84,0.135
8,11.5,30.3,24,27.2,2,130,2.013,0.74
7,30.6,30,24.8,27.4,2,110,1.312,4.54
20,70.3,33.2,22.2,27.7,1,220,41.197,3.333
40,70.3,33.2,22.2,27.7,1,220,6.107,1.072
20,70.3,33.2,22.2,27.7,1,220,3.185,27.813
20,38.8,31.8,25.6,28.7,3,250,2.529,0.398
20,70.3,33.2,22.2,27.7,1,220,45.252,0.482
24,70.3,33.2,22.2,27.7,1,220,1.402,1.09
8,38.8,31.8,25.6,28.7,3,250,0.251,0.573
14,38.8,31.8,25.6,28.7,3,250,-0.105,1.364
6,38.8,31.8,25.6,28.7,3,250,0.102,0.828
28,38.8,31.8,25.6,28.7,3,250,1.96,1.64
5,38.8,31.8,25.6,28.7,3,250,3.404,3.532
36,38.8,31.8,25.6,28.7,3,250,3.123,1.239
20,38.8,31.8,25.6,28.7,3,250,0.686,0.095
25,38.8,31.8,25.6,28.7,3,250,0.792,0.324
21,70.3,33.2,22.2,27.7,1,220,13.578,1.328
50,70.3,33.2,22.2,27.7,1,220,8.152,1.318
18,70.3,33.2,22.2,27.7,1,220,6.762,0.593
40,70.3,33.2,22.2,27.7,1,220,6.667,13.078
15,70.3,33.2,22.2,27.7,1,220,6.27,1.224
36,38.8,31.8,25.6,28.7,3,250,1.186,0.614
30,38.8,31.8,25.6,28.7,3,250,0.965,1.748
20,70.3,33.2,22.2,27.7,1,220,16.63,3.155
18,70.3,33.2,22.2,27.7,1,220,17.925,1.574
6,38.8,31.8,25.6,28.7,3,250,0.755,1.07
25,38.8,31.8,25.6,28.7,3,250,0.816,0.194
18,38.8,31.8,25.6,28.7,3,250,9.072,0.828
10,42,29.6,24.1,26.9,3,210,2.056,1.001
10,279.5,29.5,23.5,26.5,5,220,1.168,0.531
10,279.5,29.5,23.5,26.5,5,220,0.833,1.091
8,174.3,28.1,23,25.5,2,220,33.088,0.782
8,174.3,28.1,23,25.5,2,220,38.166,1.135
20,174.3,28.1,23,25.5,2,220,21.059,1.894
38,174.3,28.1,23,25.5,2,220,5.522,1.832
20,174.3,28.1,23,25.5,2,220,9.674,2.346
37,249,28.6,23.5,26,3,210,3.553,2.681
37,279.5,29.5,23.5,26.5,5,220,0.492,4.761
12,249,28.6,23.5,26,3,210,2.834,12.93
10,279.5,29.5,23.5,26.5,5,220,1.241,0.368
10,279.5,29.5,23.5,26.5,5,220,1.497,0.747
20,249,28.6,23.5,26,3,210,5.416,0.73
12,249,28.6,23.5,26,3,210,4.261,1.395
20,290,27,23.4,25.2,3,200,0.814,1.093
37,326.5,26,23.2,24.6,2,240,15.766,7.492
20,290,27,23.4,25.2,3,200,2.836,0.331
20,290,27,23.4,25.2,3,200,2.124,0.412
10,290,27,23.4,25.2,3,200,0.985,0.332
8,290,27,23.4,25.2,3,200,0.645,1.793
12,290,27,23.4,25.2,3,200,0.562,0.442
6,290,27,23.4,25.2,3,200,0.728,2.216
6,290,27,23.4,25.2,3,200,3.045,0.873
20,290,27,23.4,25.2,3,200,2.18,1.017
20,290,27,23.4,25.2,3,200,3.731,1.975
10,290,27,23.4,25.2,3,200,3.472,1.58
30,290,27,23.4,25.2,3,200,1.011,3.279
10,290,27,23.4,25.2,3,200,1.321,1.031
10,290,27,23.4,25.2,3,200,1.296,0.629
20,105.5,26,23.6,24.8,1,220,3.487,46.074
15,290,27,23.4,25.2,3,200,0.912,3.1
25,290,27,23.4,25.2,3,200,1.056,1.152
11,290,27,23.4,25.2,3,200,0.956,1.465
20,290,27,23.4,25.2,3,200,0.71,1.507
20,290,27,23.4,25.2,3,200,1.094,1.643
20,326.5,26,23.2,24.6,2,240,4.347,2.536
14,290,27,23.4,25.2,3,200,2.688,2.446
12,290,27,23.4,25.2,3,200,3.217,0.83
12,290,27,23.4,25.2,3,200,2.553,1.433
20,326.5,26,23.2,24.6,2,240,-1,-1
30,105.5,26,23.6,24.8,1,220,8.359,1.644
20,326.5,26,23.2,24.6,2,240,3.312,1.538
37,290,27,23.4,25.2,3,200,0.616,0.267
8,326.5,26,23.2,24.6,2,240,4.375,1.182
20,290,27,23.4,25.2,3,200,4.721,0.353
19,105.5,26,23.6,24.8,1,220,2.681,2.973
19,326.5,26,23.2,24.6,2,240,33.638,5.647
5,105.5,26,23.6,24.8,1,220,9.612,0.812
16,290,27,23.4,25.2,3,200,-0.305,0.638
10,290,27,23.4,25.2,3,200,0.41,1.966
18,326.5,26,23.2,24.6,2,240,2.094,0.351
8,290,27,23.4,25.2,3,200,1.044,1.053
25,105.5,26,23.6,24.8,1,220,4.355,0.501
20,326.5,26,23.2,24.6,2,240,-1,-1
19,326.5,26,23.2,24.6,2,240,9.793,2.127
8,326.5,26,23.2,24.6,2,240,2.453,6.243
19,105.5,26,23.6,24.8,1,220,2.791,6.447
60,128.5,26.5,23.5,25,2,220,1.474,0.305
19,128.5,26.5,23.5,25,2,220,1.497,1.905
19,225.7,26.2,23,24.6,1,220,7.337,2.285
20,128.5,26.5,23.5,25,2,220,1.729,1.239
19,225.7,26.2,23,24.6,1,220,3.374,0.555
37,225.7,26.2,23,24.6,1,220,0.879,0.449
12,225.7,26.2,23,24.6,1,220,72.288,14.058
8,119.2,27.6,23.2,25.4,3,70,1.727,1.768
20,119.2,27.6,23.2,25.4,3,70,1.487,0.579
20,119.2,27.6,23.2,25.4,3,70,3.199,0.927
20,225.7,26.2,23,24.6,1,220,9.536,1.167
20,128.5,26.5,23.5,25,2,220,2.821,0.137
45,119.2,27.6,23.2,25.4,3,70,0.905,2.193
20,10,29.3,25,27.2,3,220,3.167,1.713
19,16.6,28.8,24.9,26.9,1,220,15.977,1.733
6,10,29.3,25,27.2,3,220,0.434,3.848
30,10,29.3,25,27.2,3,220,0.601,0.421
19,10,29.3,25,27.2,3,220,1.183,5.837
20,7,30.1,24.2,27.2,3,260,2.547,0.878
6,16.6,28.8,24.9,26.9,1,220,13.103,2.402
22,16.6,28.8,24.9,26.9,1,220,0.138,3.041
29,16.6,28.8,24.9,26.9,1,220,-1,-1
35,4.2,30,24.7,27.4,1,270,11.42,1.827
13,4.2,30,24.7,27.4,1,270,-0.35,2.493
13,0,31.9,25.1,28.5,1,220,32.904,1.437
6,0,33,24.6,28.8,1,290,33.245,0.631
30,0,35.2,27.5,31.4,2,140,1.745,1.701
6,0,35.2,27.5,31.4,2,140,33.141,2.891
6,0,35.2,27.5,31.4,2,140,15.227,2.23
10,0,33.4,26.3,29.9,2,270,0.826,0.943
8,0,33.4,26.3,29.9,2,270,0.797,0.322
10,0,33.4,26.3,29.9,2,270,0.849,0.448
6,0,33.4,26.3,29.9,2,270,0.714,0.718
6,0,33,24.6,28.8,1,290,37.778,2.755
8,18.9,35,24.2,29.6,1,340,33.278,0.257
8,18.9,35,24.2,29.6,1,340,40.171,1.719
8,18.9,35,24.2,29.6,1,340,32.361,0.262
8,18.9,35,24.2,29.6,1,340,15.628,0.705
24,17,31,25,28,2,250,3.266,8.61
7,16.2,32.1,23.4,27.8,1,270,40.867,0.81
7,16.2,32.1,23.4,27.8,1,270,33.087,0.502
37,16.2,32.1,23.4,27.8,1,270,4.8,1.447
7,16.2,32.1,23.4,27.8,1,270,40.027,4.984
7,19.5,31,23.4,27.2,2,270,0.782,1.859
7,16.2,32.1,23.4,27.8,1,270,41.885,2.053
7,16.2,32.1,23.4,27.8,1,270,34.239,1.989
7,16.2,32.1,23.4,27.8,1,270,37.297,0.234
7,19.5,31,23.4,27.2,2,270,2.943,0.875
7,16.2,31.3,24.3,27.8,1,270,40.267,0.249
12,16.2,31.3,24.3,27.8,1,270,47.163,1.505
7,16.2,31.3,24.3,27.8,1,270,36.791,4.317
17,16.2,31.3,24.3,27.8,1,270,11.963,1.312
17,16.2,31.3,24.3,27.8,1,270,3.912,2.283
10,16.2,31.3,24.3,27.8,1,270,4.244,1.633
28,16.2,31.3,24.3,27.8,1,270,8.323,4.201
10,100.8,33.3,24.5,28.9,2,320,48.367,0.871
10,100.8,33.3,24.5,28.9,2,320,40.667,3.958
12,100.8,33.3,24.5,28.9,2,320,45.379,2.667
12,100.8,33.3,24.5,28.9,2,320,40.643,0.06
24,100.8,33.3,24.5,28.9,2,320,6.166,41.37
24,99,28.8,23.5,26.2,2,270,2.767,1.016
24,99,28.8,23.5,26.2,2,270,2.582,1.803
11,99,28.8,23.5,26.2,2,270,6.432,2.864
37,78.8,29,23.6,26.3,1,200,8.076,6.162
8,92.2,29.6,24,26.8,3,250,3.12,0.399
37,78.8,29,23.6,26.3,1,200,5.702,5.214
19,78.8,29,23.6,26.3,1,200,3.72,1.87
37,78.8,29,23.6,26.3,1,200,4.829,0.812
20,25.1,28.7,24.4,26.5,1,160,5.703,0.66
10,0,30.7,25.7,28.2,2,220,1.319,1.831
14,0,30.3,26.5,28.4,5,250,2.012,0.004
20,7.5,30.2,25.6,27.9,9,250,5.26,4.683
20,167.5,26.5,24,25.3,6,250,0.692,1.022
20,49.1,25.5,23.5,24.5,1,140,6.211,2.384
37,49.1,25.5,23.5,24.5,1,140,5.02,1.748
8,66,27.5,22.4,25,2,270,0.523,1.268
8,49.1,25.5,23.5,24.5,1,140,15.795,2.027
37,49.5,26.3,23.5,24.9,1,320,31.384,0.64
24,66,27.5,22.4,25,2,270,0.945,2.567
30,66,27.5,22.4,25,2,270,0.991,5.413
25,49.1,25.5,23.5,24.5,1,140,3.765,1.123
6,66,27.5,22.4,25,2,270,0.815,1.244
14,49.1,25.5,23.5,24.5,1,140,8.346,2.557
14,49.1,25.5,23.5,24.5,1,140,15.44,1.442
45,49.1,25.5,23.5,24.5,1,140,5.441,0.435
18,66,27.5,22.4,25,2,270,0.227,3.651
12,66,27.5,22.4,25,2,270,1.286,0.479
12,49.1,25.5,23.5,24.5,1,140,60.516,2.648
12,66,27.5,22.4,25,2,270,0.828,0.536
26,66,27.5,22.4,25,2,270,-0.17,0.476
8,49.5,26.3,23.5,24.9,1,320,1.411,0.586
5,49.1,25.5,23.5,24.5,1,140,27.453,2.26
32,66,27.5,22.4,25,2,270,3.306,1.105
37,49.5,26.3,23.5,24.9,1,320,-1,-1
27,66,27.5,22.4,25,2,270,2.254,0.918
8,49.1,25.5,23.5,24.5,1,140,1.403,1.245
12,66,27.5,22.4,25,2,270,1.363,0.63
12,66,27.5,22.4,25,2,270,1.119,1.271
20,66,27.5,22.4,25,2,270,0.885,1.621
25,66,27.5,22.4,25,2,270,-0.299,4.812
26,66,27.5,22.4,25,2,270,1.914,0.155
15,49.1,25.5,23.5,24.5,1,140,15.701,0.937
8,66,27.5,22.4,25,2,270,2.102,0.555
16,66,27.5,22.4,25,2,270,1.68,0.661
8,35.5,32.4,24.3,28.4,2,120,-1,-1
20,2.5,32.6,25.7,29.2,3,260,5.296,1.472
11,55.5,31.1,24.1,27.6,2,220,2.72,0.368
20,55.5,31.1,24.1,27.6,2,220,1.763,0.41
5,54.4,32.6,24.2,28.4,1,320,42.08,1.9
10,54.4,32.6,24.2,28.4,1,320,49.285,1.208
40,71.5,31.2,22.7,27,3,260,5,6.668
37,54.4,32.6,24.2,28.4,1,320,3.05,0.308
18,54.4,32.6,24.2,28.4,1,320,52.822,2.1
16,16,32,24.5,28.3,3,250,2.643,0.882
5,71.5,31.2,22.7,27,3,260,9.948,1.46
7,71.5,31.2,22.7,27,3,260,2.875,0.699
37,71.5,31.2,22.7,27,3,260,12.493,2.555
18,54.4,32.6,24.2,28.4,1,320,3.888,0.788
5,54.4,32.6,24.2,28.4,1,320,40.487,1.598
15,11.2,29,24.8,26.9,4,180,0.3,1.476
8,11.2,29,24.8,26.9,4,180,1.484,0.849
8,11.2,29,24.8,26.9,4,180,1.721,0.226
8,11.2,29,24.8,26.9,4,180,1.67,0.598
7,74.1,31.6,24.5,28,1,220,31.86,1.089
7,74.1,31.6,24.5,28,1,220,40.937,0.81
7,74.1,31.6,24.5,28,1,220,21.115,0.684
12,74.1,31.6,24.5,28,1,220,9.824,6.253
25,74.1,31.6,24.5,28,1,220,36.52,0.885
19,78,31,24,27.5,3,250,3.84,1.088
15,74.1,31.6,24.5,28,1,220,4.326,0.379
24,74.1,31.6,24.5,28,1,220,1.892,0.153
14,74.1,31.6,24.5,28,1,220,36.067,0.74
7,-999,36.6,24.1,30.35,2,110,16.224,1.342
7,14.5,35.2,25.2,30.2,1,320,5.466,0.376
7,14.5,35.2,25.2,30.2,1,320,31.9,10.969
7,14.5,35.2,25.2,30.2,1,320,37.699,1.226
7,14.5,35.2,25.2,30.2,1,320,39.03,0.604
18,10,35,25,30,2,320,2.474,0.583
7,14.5,35.2,25.2,30.2,1,320,5.997,2.488
7,10,35,25,30,2,320,0.884,1.428
7,10,35,25,30,2,320,0.854,0.948
7,10,35,25,30,2,320,-1,-1
7,-999,36.6,24.1,30.35,2,110,2.647,0.455
7,-999,36.6,24.1,30.35,2,110,9.579,0.951
7,14.5,35.2,25.2,30.2,1,320,4.722,3.848
7,-999,36.6,24.1,30.35,2,110,10.892,2.288
7,14.5,35.2,25.2,30.2,1,320,50.445,0.891
7,14.5,35.2,25.2,30.2,1,320,9.491,1.865
7,14.5,35.2,25.2,30.2,1,320,5.823,1.253
7,14.5,35.2,25.2,30.2,1,320,40.947,0.811
7,14.5,35.2,25.2,30.2,1,320,18.39,3.452
7,9,33.2,26.6,29.9,3,270,4.274,32.616
7,9,33.2,26.6,29.9,3,270,6.957,0.683
12,0,33.5,26.5,30,3,250,2.343,1.764
12,0,33.5,26.5,30,3,250,2.816,4.474
14,9,33.2,26.6,29.9,3,270,3.616,0.104
24,9,33.2,26.6,29.9,3,270,2.328,0.357
36,9,33.2,26.6,29.9,3,270,4.685,0.912
36,9,33.2,26.6,29.9,3,270,3.563,0.543
37,9,33.2,26.6,29.9,3,270,3.616,0.104
36,9,33.2,26.6,29.9,3,270,6.817,1.262
8,0,33.5,26.5,30,3,250,1.728,0.395
12,9,33.2,26.6,29.9,3,270,5.53,0.545
-1,9,33.2,26.6,29.9,3,270,4.034,1.015
7,71.2,32.5,24.3,28.4,1,140,38.359,0.937
9,71.2,32.5,24.3,28.4,1,140,5.466,0.376
7,71.2,32.5,24.3,28.4,1,140,32.663,0.488
7,71.2,32.5,24.3,28.4,1,140,36.153,2.614
18,71.2,32.5,24.3,28.4,1,140,13.365,7.892
7,71.2,32.5,24.3,28.4,1,140,6.221,0.201
7,71.2,32.5,24.3,28.4,1,140,9.94,5.096
7,0,33.5,26.5,30,3,250,3.326,7.104
18,71.2,32.5,24.3,28.4,1,140,4.788,1.469
7,0,33.5,26.5,30,3,250,2.318,0.716
7,0,33.5,26.5,30,3,250,2.587,0.786
7,0,33.5,26.5,30,3,250,2.376,1.737
18,0,33.5,26.5,30,3,250,2.84,1.183
36,0,33.5,26.5,30,3,250,2.51,7.239
18,0,33.5,26.5,30,3,250,2.083,1.519
18,0,33.5,26.5,30,3,250,2.329,1.002
18,0,33.5,26.5,30,3,250,2.292,1.716
18,0,33.5,26.5,30,3,250,3.257,0.152
18,0,33.5,26.5,30,3,250,2.796,1.131
18,0,33.5,26.5,30,3,250,3.243,1.852
18,71.2,32.5,24.3,28.4,1,140,9.151,9.734
18,0,33.5,26.5,30,3,250,6.806,1.031
18,0,33.5,26.5,30,3,250,1.93,1.807
18,0,33.5,26.5,30,3,250,4.407,3.308
18,71.2,32.5,24.3,28.4,1,140,6.317,1.244
18,71.2,32.5,24.3,28.4,1,140,3.776,2.639
18,0,33.5,26.5,30,3,250,6.42,1.743
18,0,33.5,26.5,30,3,250,6.42,1.743
7,0,33.5,26.5,30,3,250,2.921,1.482
7,71.2,32.5,24.3,28.4,1,140,38.199,0.913
-1,71.2,32.5,24.3,28.4,1,140,32.956,1.395
10,0,33.5,26.5,30,3,250,2.684,1.4
18,71.2,32.5,24.3,28.4,1,140,-1,-1
8,9,33.2,26.6,29.9,3,270,-1,-1
19,9,33.2,26.6,29.9,3,270,-1,-1
8,9,33.2,26.6,29.9,3,270,-1,-1
19,9,33.2,26.6,29.9,3,270,3.915,1.36
8,9,33.2,26.6,29.9,3,270,1.976,0.535
19,0,33.5,26.5,30,3,250,1.943,0.672
13,9,33.2,26.6,29.9,3,270,2.436,0.85
14,9,33.2,26.6,29.9,3,270,22.394,1.414
7,9,33.2,26.6,29.9,3,270,1.89,1.18
7,9,33.2,26.6,29.9,3,270,2.093,0.512
37,9,33.2,26.6,29.9,3,270,18.776,1.902
24,9,33.2,26.6,29.9,3,270,12.4,30.479
11,71.2,32.5,24.3,28.4,1,140,15.918,1.037
10,71.2,32.5,24.3,28.4,1,140,17.979,3.623
6,71.2,32.5,24.3,28.4,1,140,15.918,1.037
11,1,31.8,25.8,28.8,1,110,15.918,1.037
8,10,31,25.2,28.1,2,260,-1,-1
19,10,31,25.2,28.1,2,260,-1,-1
8,10,31,25.2,28.1,2,260,-1,-1
7,21.8,32.3,25.8,29,1,220,38.359,0.937
14,7,31.8,25.3,28.55,4,260,22.394,1.414
7,71.5,30.2,24.1,27.15,2,270,4.274,32.616
7,71.5,30.2,24.1,27.15,2,270,6.957,0.683
12,38,31,23.5,27.3,3,220,2.343,1.764
12,38,31,23.5,27.3,3,220,2.816,4.474
14,71.5,30.2,24.1,27.15,2,270,3.616,0.104
24,71.5,30.2,24.1,27.15,2,270,2.328,0.357
36,71.5,30.2,24.1,27.15,2,270,4.685,0.912
36,71.5,30.2,24.1,27.15,2,270,3.563,0.543
7,22.9,31,23.6,27.3,1,340,38.359,0.937
9,22.9,31,23.6,27.3,1,340,5.466,0.376
7,22.9,31,23.6,27.3,1,340,32.663,0.488
7,22.9,31,23.6,27.3,1,340,36.153,2.614
18,22.9,31,23.6,27.3,1,340,13.365,7.892
18,22.9,31,23.6,27.3,1,340,6.221,0.201
7,22.9,31,23.6,27.3,1,340,9.94,5.096
7,38,31,23.5,27.3,3,220,3.326,7.104
18,22.9,31,23.6,27.3,1,340,4.788,1.469
7,38,31,23.5,27.3,3,220,2.318,0.716
7,38,31,23.5,27.3,3,220,2.587,0.786
7,38,31,23.5,27.3,3,220,2.376,1.737
18,38,31,23.5,27.3,3,220,2.84,1.183
36,38,31,23.5,27.3,3,220,2.51,7.239
18,38,31,23.5,27.3,3,220,2.083,1.519
18,38,31,23.5,27.3,3,220,2.329,1.002
18,38,31,23.5,27.3,3,220,2.292,1.716
18,38,31,23.5,27.3,3,220,3.257,0.152
18,38,31,23.5,27.3,3,220,2.796,1.131
18,38,31,23.5,27.3,3,220,3.243,1.852
18,22.9,31,23.6,27.3,1,340,9.151,9.734
18,38,31,23.5,27.3,3,220,6.806,1.031
18,38,31,23.5,27.3,3,220,1.93,1.807
18,38,31,23.5,27.3,3,220,4.407,3.308
